TYPE	SOURCE	INDEX	NAME	ECFORM	SIZE	PARAMETERS	
MIN	THCv9b0	_0478	CrO2	Cr(1)O(2)	1	8.69	
MIN	THCv9b0	_0479	CrO3	Cr(1)O(3)	1	3.02	
MIN	THCv9b0	_0480	CrPO4(green)	P(1)Cr(1)O(4)	1	12.2	
MIN	THCv9b0	_0481	CrPO4(purple)	P(1)Cr(1)O(4)	1	6.575	
MIN	THCv9b0	_0482	CrS	S(1)Cr(1)	1	-158.7	
MIN	THCv9b0	_0483	Cristobalite	Si(1)O(2)	1	3.16	
MIN	THCv9b0	_0484	Crocoite	Cr(1)Pb(1)O(4)	1	12.55	
MIN	THCv9b0	_0485	Cronstedtite-Th	Si(1)Fe(4)O(9)H(4)	76.8	0.86	
MIN	THCv9b0	_0486	Cu	Cu(1)	1	-31.6	
MIN	THCv9b0	_0487	Cu3(AsO4)2	Cu(3)As(2)O(8)	1	34.88	
MIN	THCv9b0	_0488	Dawsonite	Al(1)Na(1)C(1)O(5)H(2)	1	6	
MIN	THCv9b0	_0489	Diaspore	Al(1)O(2)H(1)	1	-6.86	
MIN	THCv9b0	_0490	Dickite	Si(2)Al(2)O(9)H(4)	1	-9.39	
MIN	THCv9b0	_0491	Dolomite	Mg(1)Ca(1)C(2)O(6)	64.37	17.12	
MIN	THCv9b0	_0492	Eastonite	Si(2)Al(3)Mg(2)K(1)O(12)H(2)	147.5	-46.32	
MIN	THCv9b0	_0493	Epsonite	Mg(1)S(1)O(11)H(14)	1	1.88	
MIN	THCv9b0	_0494	Ettringite	Al(2)Ca(6)S(3)O(50)H(64)	710.3	-56.97	
MIN	THCv9b0	_0495	Ettringite-Fe	Fe(2)Ca(6)S(3)O(50)H(64)	711.8	-37.58	
MIN	THCv9b0	_0496	Fayalite	Si(1)Fe(2)O(4)	1	-19.51	
MIN	THCv9b0	_0497	Fe(OH)2	Fe(1)O(2)H(2)	1	-12.76	
MIN	THCv9b0	_0498	Fe(PO4)	Fe(1)P(1)O(4)	1	14.72	
MIN	THCv9b0	_0499	Fe	Fe(1)	1	-58.85	
MIN	THCv9b0	_0500	Fe5(OH)(PO4)3	Fe(5)P(3)O(13)H(1)	1	402.3	
MIN	THCv9b0	_0501	FeAl2O4	Al(2)Fe(1)O(4)	1	-27.2	
MIN	THCv9b0	_0502	FeMoO4	Fe(1)Mo(1)O(4)	1	8.35	
MIN	THCv9b0	_0503	FeO	Fe(1)O(1)	1	-13.37	
MIN	THCv9b0	_0504	FeS(am)	Fe(1)S(1)	1	-135.3	
MIN	THCv9b0	_0505	Ferrihydrite(am)	Fe(1)O(3)H(3)	1	5.945	
MIN	THCv9b0	_0506	Ferrosilite	Si(1)Fe(1)O(3)	1	-32.71	
MIN	THCv9b0	_0507	Ferryhydrite	Fe(1)O(3)H(3)	1	7.295	
MIN	THCv9b0	_0508	Fluorapatite	Ca(5)F(1)P(3)O(12)	1	0.91	
MIN	THCv9b0	_0509	Fluorite	Ca(1)F(2)	1	10.6	
MIN	THCv9b0	_0510	Foshagite	Si(300)Ca(400)O(1150)H(300)Div(100)	160.7	-65.96	
MIN	THCv9b0	_0511	Friedel-salt	Al(2)Ca(4)Cl(2)O(16)H(20)	276.2	-74.93	
MIN	THCv9b0	_0512	Galena	S(1)Pb(1)	1	-123.4	
MIN	THCv9b0	_0513	Gaylussite	Ca(1)Na(2)C(2)O(11)H(10)	1	9.43	
MIN	THCv9b0	_0514	Gibbsite	Al(1)O(3)H(3)	1	-7.74	
MIN	THCv9b0	_0515	Gismondine	Si(4)Al(4)Ca(2)O(25)H(18)	315.1	-39.01	
MIN	THCv9b0	_0516	Glaserite	Na(2)K(6)S(4)O(16)	1	7.61	
MIN	THCv9b0	_0517	Glauberite	Ca(1)Na(2)S(2)O(8)	1	-1.97	
MIN	THCv9b0	_0518	Glauconite	Si(375)Al(50)Fe(150)Mg(25)K(75)O(1200)H(200)Div(100)	139.8	8.746	
MIN	THCv9b0	_0519	Goethite	Fe(1)O(2)H(1)	1	8.095	
MIN	THCv9b0	_0520	Greenalite	Si(2)Fe(3)O(9)H(4)	115	-21.77	
MIN	THCv9b0	_0521	Gypsum	Ca(1)S(1)O(6)H(4)	1	4.61	
MIN	THCv9b0	_0522	Gyrolite	Si(300)Ca(200)O(1050)H(500)Div(100)	137.3	-22.34	
MIN	THCv9b0	_0523	H2MoO4	Mo(1)O(4)H(2)	1	13.17	
MIN	THCv9b0	_0524	HBeidellite-Ca	Si(366)Al(234)Ca(17)O(1645)H(1090)Div(100)	214.6	-2.11	
MIN	THCv9b0	_0525	HBeidellite-K	Si(366)Al(234)K(34)O(1396)H(592)Div(100)	168.7	-2.24	
MIN	THCv9b0	_0526	HBeidellite-Mg	Si(366)Al(234)Mg(17)O(1661)H(1122)Div(100)	212.6	-2.24	
MIN	THCv9b0	_0527	HBeidellite-Na	Si(366)Al(234)Na(34)O(1584)H(968)Div(100)	201.9	-1.86	
